n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,0.0,0.0,0.0,128.0,False
20,0.0,0.0,0.0,128.0,False
30,0.0,0.0,0.0,128.0,False
40,0.0,0.0,0.0,128.0,False
50,0.0,0.0,0.0,128.0,False
60,0.0,0.0,0.0,128.0,False
70,0.0,0.0,0.0,128.0,False
80,0.0,0.0,0.0,128.0,False
90,0.0,0.0,0.0,128.0,False
100,0.0,0.0,0.0,128.0,False
200,0.0,0.0,0.0,128.0,False
300,0.0,0.0,0.0,128.0,False
400,0.09514132617885697,0.0015246926302947491,0.00390625,128.5,False
500,0.0,0.0,0.0,128.0,False
600,0.09514132617885697,0.0015246926302947491,0.00390625,128.5,False
700,0.0,0.0,0.0,128.0,False
800,0.19028265235771394,0.0030493852605894983,0.0078125,129.0,False
900,0.09514132617885697,0.0015246926302947491,0.00390625,128.5,False
1000,0.09514132617885697,0.0015246926302947491,0.00390625,128.5,False
2000,0.19028265235771394,0.0030493852605894983,0.0078125,129.0,False
3000,0.19028265235771394,0.0030493852605894983,0.0078125,129.0,False
4000,0.09514132617885697,0.0015246926302947491,0.00390625,128.5,False
5000,0.47570663089428483,0.0076234631514737455,0.01953125,130.5,False
6000,0.5708479570731418,0.009148155781768495,0.0234375,131.0,False
7000,0.2854239785365709,0.004574077890884248,0.01171875,129.5,False
8000,0.3805653047154279,0.0060987705211789965,0.015625,130.0,False
9000,0.7611306094308558,0.012197541042357995,0.03125,132.0,False
10000,0.47570663089428483,0.0076234631514737455,0.01953125,130.5,False
20000,0.8562719356097127,0.013722233672652745,0.03515625,132.5,False
30000,1.7125438712194254,0.02744446734530548,0.0703125,137.0,False
40000,2.378533154471425,0.038117315757368715,0.1171875,140.5,False
50000,3.425087742438854,0.054888934690610944,0.15625,146.0,False
60000,3.1396637639022824,0.0503148567997267,0.15625,144.5,False
70000,3.90079437333314,0.06251239784208469,0.1640625,148.5,False
80000,4.2813596780485685,0.06861116836326371,0.19921875,150.5,False
90000,4.2813596780485685,0.06861116836326371,0.19921875,150.5,False
100000,5.137631613658283,0.0823334020359165,0.21875,155.0,False
