n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,0.31537303222623014,0.13937863091218156,0.04296875,131.24609375,False
20,0.5602424364785725,0.2407449079392227,0.07421875,134.86328125,False
30,0.6510531107579276,0.2801110649113942,0.08984375,136.61328125,False
40,0.8979488084971391,0.3826011000339499,0.13671875,139.77734375,False
50,1.2474675411895089,0.5516127544555013,0.1875,144.01953125,False
60,1.6951325865479587,0.7082101361022559,0.23046875,151.6015625,False
70,1.5295444746168176,0.6617566958298554,0.26171875,150.4765625,False
80,1.903254551608366,0.8382627898105344,0.30859375,153.71875,False
90,2.1079611309454505,0.9477518853597621,0.34375,156.26171875,False
100,2.990297092504953,1.319027181565009,0.50390625,169.84375,False
200,3.9294038982142268,1.7530300555029645,0.7421875,186.53515625,False
300,5.369306939005875,2.4660310920980164,1.328125,212.16796875,False
400,5.709678526496128,2.700399897873735,1.5859375,220.0703125,False
500,5.747380543828178,2.7906649317301087,1.98828125,224.45703125,False
600,6.365597193895236,3.0673847530935636,2.26171875,236.66796875,False
700,6.434027909213131,3.180320133227267,2.71484375,239.60546875,False
800,6.365940613303115,3.1790612852594413,3.15625,243.609375,False
900,6.299963163448894,3.1664612826755576,3.55078125,243.56640625,False
1000,6.368615655954081,3.2295643546477986,3.77734375,247.8203125,False
2000,5.863618070583781,3.071383297259841,7.85546875,255.46484375,False
3000,5.517574242407046,2.897516754161922,11.703125,255.95703125,False
4000,5.353310366989126,2.7588246960648166,15.67578125,256.0,False
5000,5.140866882951231,2.65599405140334,19.22265625,256.0,False
6000,5.031385899238064,2.5857391666975187,23.3125,256.0,False
7000,4.94114101149066,2.5200098233850885,27.5390625,256.0,False
8000,4.82654073176148,2.4319463988680963,31.671875,256.0,False
9000,4.763209376408012,2.3791314338695018,35.30078125,256.0,False
10000,4.710213902522806,2.34015770241864,39.83984375,256.0,False
20000,4.381477268591799,2.0810947845594177,78.87890625,256.0,False
30000,4.23429967284934,1.9641886090300371,116.28125,256.0,False
40000,4.147847925594652,1.88391388417553,156.33203125,256.0,False
50000,4.048897262948963,1.8187746831365235,195.83984375,256.0,False
60000,4.001473323993498,1.7738353253516332,233.6328125,256.0,False
70000,3.9828680100760288,1.7459209410976806,274.01171875,256.0,False
80000,3.951122630855797,1.7234069597650379,313.15234375,256.0,False
90000,3.9074569432531097,1.6923375814930195,353.32421875,256.0,False
100000,3.9093679061624003,1.6838534621804566,392.33984375,256.0,False
