n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,4.650600427617155,2.9367759729748624,1.62109375,117.33984375,False
20,4.769002889204658,3.2369651790845,3.39453125,127.4375,False
30,4.54420676157819,3.226847057344623,4.91015625,132.66796875,False
40,4.173957124308635,3.0823349407684884,6.6875,125.84375,False
50,3.9855746154290457,3.0013127284161016,8.10546875,125.859375,False
60,3.76301881588053,2.878529777771853,10.20703125,128.44140625,False
70,3.646308620295673,2.8171854019060842,11.72265625,134.953125,False
80,3.463100346578768,2.7315995442696472,13.4375,123.6171875,False
90,3.343771666024305,2.643208953121317,15.24609375,124.98046875,False
100,3.233880354118561,2.5534867122163476,17.41015625,130.171875,False
200,2.5752616085683733,2.1168272198043905,33.92578125,122.79296875,False
300,2.2369087142933584,1.8457556230664345,50.56640625,130.67578125,False
400,1.9747206010879474,1.65030646021964,66.63671875,120.3515625,False
500,1.8011818375563289,1.497324603779785,85.0703125,134.78125,False
600,1.6551781009065527,1.3905266895188275,100.10546875,121.80859375,False
700,1.5392285354770325,1.283423219958298,117.1171875,126.66796875,False
800,1.4371217362264799,1.200528006628473,135.95703125,125.8515625,False
900,1.3581106092937265,1.131069878862392,152.04296875,130.609375,False
1000,1.30470171835478,1.085276688629158,167.33984375,134.43359375,False
2000,0.9138624828161207,0.763804825058368,335.1484375,130.1953125,False
3000,0.7644739641031663,0.6410539261482772,502.38671875,129.3515625,False
4000,0.6843342504470942,0.5786416103385417,669.25390625,127.49609375,False
5000,0.6324497916188374,0.5423116267691368,839.49609375,118.3671875,False
6000,0.6053667819988526,0.5203409114969504,1012.04296875,124.95703125,False
7000,0.584579024378512,0.5056694988044018,1174.76171875,127.12109375,False
8000,0.5730897321698393,0.49533457528661984,1341.08203125,138.28515625,False
9000,0.555536120894422,0.4877131261763184,1509.890625,120.31640625,False
10000,0.5481685674649359,0.48239971384694746,1676.75390625,124.109375,False
20000,0.5101130968175287,0.4627585835377891,3356.26953125,129.12109375,False
30000,0.4968145477594966,0.4581767390544731,5032.4921875,127.8359375,False
40000,0.48997935562178635,0.456437092874363,6710.49609375,124.6328125,False
50000,0.4873843967615431,0.45638163802766735,8385.8515625,137.91796875,False
60000,0.4837957008694598,0.45664578772725734,10065.40625,128.30859375,False
70000,0.4822183029261373,0.45655180027224296,11737.81640625,128.16796875,False
80000,0.48076627413350537,0.45686215433556765,13426.234375,129.90625,False
90000,0.4788415039787786,0.45724561178026574,15098.63671875,121.046875,False
100000,0.47902868922586284,0.45711445335518763,16772.4453125,132.703125,False
