n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
50,0.0,0.0,0.0,128.0,False
60,0.0,0.0,0.0,128.0,False
70,0.0,0.0,0.0,128.0,False
80,0.0,0.0,0.0,128.0,False
90,0.0,0.0,0.0,128.0,False
100,0.0,0.0,0.0,128.0,False
200,0.0,0.0,0.0,128.0,False
300,0.0,0.0,0.0,128.0,False
400,0.0,0.0,0.0,128.0,False
500,0.0,0.0,0.0,128.0,False
1000,-0.004642844200134277,-0.004642844200134277,0.00390625,127.50390625,False
2000,0.0,0.0,0.0,128.0,False
3000,-0.004642844200134277,-0.004642844200134277,0.00390625,127.5078125,False
4000,-0.009285688400268555,-0.009285688400268555,0.0078125,127.01171875,False
5000,-0.013928532600402832,-0.013928532600402832,0.01171875,126.515625,False
10000,-0.027857065200805664,-0.027857065200805664,0.0234375,125.03515625,False
20000,-0.041785597801208496,-0.041785597801208496,0.03515625,123.546875,False
30000,-0.10678541660308838,-0.10678541660308838,0.08984375,116.640625,False
40000,-0.06964266300201416,-0.06964266300201416,0.0625,120.58984375,False
50000,-0.11607110500335693,-0.11607110500335693,0.11328125,115.65234375,False
100000,-0.23214221000671387,-0.23214221000671387,0.21875,103.3125,False
