n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,-0.9925959778215352,-2.267726051645284,0.5546875,107.18359375,False
20,-1.5088764438694129,-3.18965026181226,1.1796875,87.671875,False
30,-1.6648857930788163,-3.293484370399886,1.6953125,80.2265625,False
40,-1.6202135244008835,-3.064943047015523,2.23046875,72.05859375,False
50,-1.5862558658337074,-2.949688457136716,2.6171875,65.06640625,False
60,-1.4957303129396406,-2.482942824067576,3.55078125,54.69140625,False
70,-1.5590246968671058,-2.389974504576716,4.04296875,43.8828125,False
80,-1.473695013383824,-2.126642830387476,4.546875,34.828125,False
90,-1.3596003683970836,-1.9327664706488186,5.22265625,34.35546875,False
100,-1.3109459379742618,-1.681528880707769,6.1171875,25.62109375,False
200,-1.0353716077518307,-0.999968899848228,11.80859375,7.49609375,True
300,-0.9306401213115882,-0.722916651604438,17.48046875,3.32421875,True
400,-0.895255589075664,-0.6071036256625473,22.828125,1.609375,True
500,-0.8713150845567423,-0.5020133467968075,28.859375,1.046875,True
600,-0.8546852793906614,-0.45114370785923363,33.84765625,1.01171875,True
700,-0.849409945124956,-0.40271587339016995,39.6015625,1.0078125,True
800,-0.8160052498868575,-0.3575111746065031,46.42578125,1.0,True
900,-0.8041512580918286,-0.32949930951723444,52.296875,1.0,True
1000,-0.8156765489860948,-0.3133925819102733,58.0625,1.0,True
2000,-0.7934528701068295,-0.2230069442668033,115.55859375,1.0,True
3000,-0.7827534755312694,-0.2022288735338467,172.62890625,1.0,True
4000,-0.7810891802874069,-0.19103806774489024,230.7421875,1.0,True
5000,-0.7689858782181305,-0.17934537859983282,286.98046875,1.0,True
6000,-0.7618543068472085,-0.17201394637925224,346.05078125,1.0,True
7000,-0.7642756454368828,-0.17114213513115786,404.23046875,1.0,True
8000,-0.7669387368709742,-0.16901320305072579,460.25,1.0,True
9000,-0.7648416633219631,-0.1697089652812708,519.109375,1.0,True
10000,-0.7636010613535164,-0.16683091826983218,575.06640625,1.0,True
20000,-0.764810780970042,-0.1625054330367396,1154.55859375,1.0,True
30000,-0.7626690801813913,-0.1612030247796304,1728.53125,1.0,True
40000,-0.759583124811552,-0.15964865911465545,2304.37109375,1.0,True
50000,-0.7579465111196407,-0.15798241217940986,2887.6796875,1.0,True
60000,-0.7593898863934957,-0.15895457085346193,3458.078125,1.0,True
70000,-0.7617475906014632,-0.16031273205993318,4030.32421875,1.0,True
80000,-0.7599542238601033,-0.15956547951279962,4616.37109375,1.0,True
90000,-0.7584218780917361,-0.15884111513196816,5192.390625,1.0,True
100000,-0.7618057330314238,-0.1598071617761915,5767.01171875,1.0,True
